ID,name,type,address,phone,governorate,Latitude,Longitude
TP-102,Makkah Physical Therapy Center,Radiology Center,16 Saleh Sobhi Street intersection with Mostafa Safwat Street – Helwan,25551212,Cairo,29.8446103,31.33838894
RA-103,Cairo Radiology Center (CairoScan) 19144,Radiology Center,59 Shubra Street,27730029,Cairo,30.07646985,31.24479764
RA-104,TechnoScan Dr. Osama Khalil 19989,Radiology Center,"8 Rashid Street, Salah El-Din Square – Heliopolis",219989,Cairo,30.09497568,31.33187367
RA-105,Misr Radiology Center,Hospital,8 Al-Khalifa Al-Maamoun Street – Manshiet El-Bakri,24509772,Cairo,30.08738405,31.30222596
RA-106,Al-Tahra Radiology Center (19173),Hospital,87 Al-Maqrizi Street behind Mobil Station – Roxy,24529006,Cairo,30.09597015,31.31178061
RA-107,Capital Scan,Hospital,45 El-Nasr Street – Algeria Square,25171115,Cairo,29.97424305,31.27526718
H-108,Cairo Care Hospital,Hospital,4 Abu Obeid Al-Bakri Street – from Granada – Heliopolis,225285447,Cairo,29.99605005,31.22829437
H-109,Saudi German Hospital,Hospital,Intersection of Taha Hussein Axis with Joseph Tito Street,16259-0226252400,Cairo,30.13237139,31.38475965
H-110,Al-Salam International Hospital,Hospital,"Nile Corniche, Maadi",1092001443,Cairo,29.9929564,31.23271106
H-111,Andalusia Maadi Hospital (Al-Nakhil),Hospital,New Maadi – Al-Lasilki Division,227537773,Cairo,29.97364728,31.28173131
H-112,International Medical Center,Hospital,"Kilometer 42, Cairo-Ismailia Desert Road",24775902,Cairo,30.19370297,31.65605172
H-113,Maadi Military Hospital,Hospital,"Nile Corniche, Maadi",1200193555,Cairo,29.96863392,31.24149821
H-114,Kasr Al-Ainy Teaching Hospital,Hospital,Kasr El-Aini Street,23638839,Cairo,30.0356119,31.23586687
H-115,Dar Al-Hikma Hospital,Hospital,"10 Mohamed Hussein Heikal Abbas Al-Akkad Street, Madinet Nasr",26739050,Cairo,30.06598262,31.33795181
H-116,Al-Galaa Hospital (For Armed Forces Families),Hospital,2 Al-Uruba Street – Salah Salem – Airport Road,22673650,Cairo,30.10057629,31.35068576
H-117,Italian Hospital,Hospital,"17 Al-Sarayat Street, Abbasiya",24678191,Cairo,30.08590444,31.28497736
H-118,San Peter International Hospital,Hospital,"3 Abdel Rahman Al-Rafei Street, Al-Hegaz Square – Heliopolis",26235797,Cairo,30.11560033,31.34738021
H-119,Al-Badr Specialized Hospital,Hospital,37 Mourad Street – Salah El-Din Square – Heliopolis,24155387,Cairo,30.10599586,31.32726112
H-120,Al-Mokawloon Arab Hospital (19660),Hospital,465 Al-Gabal Al-Akhdar – Madinet Nasr,24881475,Cairo,30.05955791,31.34613926
H-122,Hasbo Hospital,Hospital,"15 Ahmed Fakhry Street, Madinet Nasr, District 6",23520040,Cairo,"30.06911307022725, ",31.34863108
H-123,Al-Massa Hospital,Hospital,26 Metwalli Al-Shaarawi Street – District 10 – Madinet Nasr,23575162,Cairo,30.05659614,31.37935846
H-124,Palestine Hospital,Hospital,64 El-Thawra Street – Heliopolis,22909007,Cairo,30.08512706,31.33939227
H-125,Al-Helmiya Military Orthopedic Hospital,Hospital,91 Selim I Street – Helmeya El-Zeitoun,26353162,Cairo,,
H-126,Al-Hilal Ramsis Hospital,Hospital,34 Ramsis Street,25750171,Cairo,,
H-128,Coptic Association Hospital,Hospital,"37 Selim I Street, El-Zeitoun – Cairo",2257780,Cairo,30.10764888,31.31241548
H-129,International Medical Center Hospital,Hospital,"26 Ahmed Helmy Square, Engineers Tower – behind Misr Station – Shubra",22362630,Cairo,30.20899341,31.64993629
H-130,Al-Safwa Shubra Hospital,Hospital,3 Menyet El-Serj Street next to Khair Zaman – Shubra Street,24302001,Cairo,30.09302153,31.24582733
H-131,Al-Muqattam Specialized Hospital,Hospital,End of Street 9 – Al-Mokattam,25079852,Cairo,30.01263302,31.32736684
H-132,Al-Sharabiya Hospital (Islamic Medical Association),Hospital,"12 Abdel Aziz Faj Al-Nour Street next to Al-Taqwa Mosque, Ezbet Bilaal – Al-Sharabiya",23582362,Cairo,,
H-133,One-Day Surgeries Hospital in Al-Zawya,Hospital,Port Said Street – Al-Zawya Al-Hamra,24231300,Cairo,30.08804077,31.27314055
H-134,Al-Qahira Al-Fatimiyah Hospital,Hospital,Saleh El-Gafari Street behind Al-Azhar Sheikhdom – Al-Darrasa,29241392,Cairo,30.04689927,31.27074336
H-136,Ain Shams University Specialized Hospital,Hospital,Al-Khalifa Al-Maamoun Street – Abbasiya,24826606,Cairo,30.07882511,31.28763104
H-137,Al-Fath Al-Islami Hospital,Hospital,Street 9 – Maadi,23585651,Cairo,29.96655424,31.25406863
H-138,General Air Force Hospital,Hospital,Ahmed Saeed Street – Abbasiya,26825616,Cairo,30.06923132,31.27620531
H-140,Viva Al-Akkad Hospital,Hospital,12 Mohamed Mustafa Hammam Street from Abbas Al-Akkad Street,01026269494- 022610040,Cairo,30.06607173,31.33577215
H-141,Farid Habib Hospital,Hospital,"Axis of District 5, Piece 5, Block 16081 – Madinet Al-Obour",16784,Cairo,30.22372657,31.48175274
H-142,Al-Safarat Hospital,Hospital,"119 Abdel Qaher El-Gurgani Street, District 7 – Madinet Nasr",01000683784-01224481015,Cairo,30.04331661,31.33926426
H-145,Tabarak Children's Hospital,Hospital,"3 Hussein Zohdi Street, Golf Land (Nurseries) (Main Center)",24184840,Cairo,30.08459063,31.34160686
H-146,Tabarak Children's Hospital,Hospital,"Al-Mokattam – Al-Nafoura Square, Street 9, Al-Mokattam Al-Mumayaz Building",25073700,Cairo,30.01557487,31.28174275
H-147,Tabarak Children's Hospital,Hospital,Al-Sayeda Zeinab – 216 Port Said Street,23926067,Cairo,30.03697028,31.2478877
H-148,Tabarak Children's Hospital,Hospital,"13 Rod El-Farag Street, Shubra (Nurseries & Surgeries)",24586350,Cairo,30.0826746,31.23887168
H-149,Tabarak Children's Hospital,Hospital,Dar Al-Salam – 76 El-Fayoum Street in front of Schools Complex,27165390,Cairo,29.9850781,31.24872788
H-150,Tabarak Children's Hospital,Hospital,King Al-Saleh – 57 Hassan Al-Anwar Street,25329149,Cairo,30.01507698,31.23369164
H-152,Tabarak Children's Hospital,Hospital,"Helwan – 26 Sharif Street, Dahab Tower in front of Metro Station (Nurseries & Surgeries)",27648012,Cairo,29.84979949,31.33566274
H-153,Tabarak Children's Hospital,Hospital,53 Abdel Aziz Fahmy Street – Heliopolis,26388164,Cairo,30.10746183,31.33890714
H-154,Tabarak Children's Hospital,Hospital,"29 Wali Al-Ahd Street, Hadayek El-Qobba",26015222,Cairo,30.10621981,31.29033146
H-155,Tabarak Children's Hospital,Hospital,"Ein Shams – 97 Aziz El-Masry Street, Ein Shams (Surgeries)",22999705,Cairo,30.14295853,31.32775848
H-156,Tabarak Children's Hospital,Hospital,16 Youssef El-Degwy Street – Ezbet El-Nakhl,24951127,Cairo,,
H-157,Tabarak Children's Hospital,Hospital,7 Mohamed Mahdi Street – Madinet Nasr,24114050,Cairo,30.15255871,31.39085335
H-159,Tabarak Children's Hospital,Hospital,9 Anwar El-Mofti Street behind Tiba Mall – Abbas Al-Akkad – Madinet Nasr (Nurseries & Surgeries),24055030,Cairo,30.07329906,31.33252951
H-166,Tabarak Children's Hospital,Hospital,New Nozha – 11 Magdy Street branching from Historian Mohamed Refaat Street,26204990,Cairo,30.14236261,31.36734594
H-168,Tabarak Children's Hospital,Hospital,"Gesr El-Suez – 97 Aziz El-Masry Street, Ein Shams (Surgeries only)",22999802,Cairo,30.12995033,31.35704882
H-169,Tabarak Children's Hospital,Hospital,Al-Mataria 2 – Al-Mataria Main Street above Hati Sheikh El-Balad,22545176,Cairo,30.13279427,31.30058127
H-171,Tabarak Children's Hospital,Hospital," Mansheit Al Bakri, Atati, El Omraniya, Giza Governorate",1122261139,Giza,30.04480238,31.13707982
H-177,Al-Rawda Urology and Lithotripsy Center,Hospital,109 Abbasiya Street – Al-Lou’lou’a Tower – Abbasiya,26849318,Cairo,30.0415524,31.24780598
H-178,Dar Abul Azayem Psychiatric Hospital,Specialized Clinic,"Alexandria Square, Block 6, Entrance 1 – Madinet Al-Salam",26273255,Cairo,29.99103091,31.32840352
H-179,Ozone Medical Center,Specialized Clinic,50 Al-Eshreen Street – Ein Shams,1023971961,Cairo,30.00645633,31.45372868
SC-180,Dr MOHAMED KAMEL ENDOCRINE & THYROID,Specialized Clinic,"34 Al-Akhshid Street, Manyal Al-Roda in front of Al-Zuhairi Hospital",01223477727-25317329,Cairo,30.02602534,31.43381618
CL-181,Zaher Specialized Clinics (Zaher Zone),Specialized Clinic,"70 Feddan Area, Ring Road behind Hunting Club, Mokattam Plateau",27272701,Cairo,30.03340989,31.3555628
H-182,IMC International Medical Consultants,Cardiac Catheterization & Interventional Radiology Center,"2 Mohamed Abbas Street from Al-Eshreen Street, Zahraa Ein Shams",21850300,Cairo,30.07820015,31.34303255
SC-183,Dr. Nasef Mohamed Nasef Orthopedic Surgery Consultant,ENT Center,No. 110 – First Floor – Medical Center No. 1,01118850905-21109303,Cairo,29.96186182,31.26019912
SC-184,Shefaa for IR and Cardiology ,ENT Center,"3 Zaher City Division, First Floor, Apartment 17, Entrance B",01555331353-0220777000,Cairo,29.9611054,31.25092946
SC-185," Ent Clinic 5th Settlement
",Gastroenterology Center,90th North Street – inside CMC Building – behind Al-Gawwi Hospital,01115379921-01095206843-01011044363,Cairo,30.01577798,31.41940593
SC-186,Ent Clinic Nasr City,Hospital,Building 1A – 220 Street 162 B branching from Misr Helwan Agricultural Road – behind Maadi Military Hospital,0225252050-01270804225,Cairo,30.07359561,31.35447353
SC-187,Dr. Hussein Akasha - Alfa Scope,Hospital,"Nile Corniche, Maadi – First Osman Towers",1200004367-15206-25259869-25259879,Cairo,30.09399651,31.31061316
H-204,Ezzaby Pharmacy ,Pharmacy,1 Ahmed Ibrahim El-Gazzar Street from Church Street – Al-Moneeb,33076246,Cairo,30.04927294,31.43192221
H-205,Ezzaby Pharmacy ,Pharmacy,76B Khufu Entrance above Roshdy Pharmacy – Hadaek Al-Ahram,39745115,Giza,30.03778091,31.21796762
H-206,Ezzaby Pharmacy ,Pharmacy,"412B Mina Entrance, Gate 4 – Hadaek Al-Ahram",1019019750,Giza,30.06720062,31.21573603
PH-207,Ezzaby Pharmacy ,Pharmacy,36 Al-Hussein Square in front of Al-Hussein Mosque,25895551,Cairo,30.0715794,31.28040035
PH-208,Ezzaby Pharmacy ,Pharmacy,Manyal – 123 Abdelaziz Al Saud Street,25329939,Cairo,30.04855058,31.24126155
PH-272,Seif Pharmacy ,Pharmacy,"Kilometer 52, Cairo-Ismailia Desert Road next to Hypermarket of 10th of Ramadan",015/410930,Cairo,30.01923419,31.22228673
PH-273,Seif Pharmacy ,Pharmacy,"District 1, Second Neighborhood, Piece No. 6, Shop No. 4 – Madinet Badr",28609235/236,Cairo,30.04063521,31.23413137
PH-308,Al Mokhtabar Labs,Lab,"Madinet Al-Obour, Golf City Mall",44828320,Cairo,30.07171328,31.33188958
PH-309,Lab Dr. Mouna Kamel ,Lab,"Al-Shabab, 63 Meters, Mustaqbal Square",3130361/2/4/5,Cairo,30.01605897,31.32726584
PH-345,Misr Pharmacy (19110), Pharmacy ," Ad Doqi, Giza Governorate",26376035,Giza,30.03672829,31.20063184
PH-346,Misr Pharmacy (19110), Pharmacy ,"176 Al-Tahrir Street, Bab El-Louq – Downtown",23932567 23953869,Cairo,30.03971322,31.21416058
PH-347,Misr Pharmacy (19110), Pharmacy ,249 Shubra Street in front of Omar Ibn Al-Khattab Mosque,24306833/32,Cairo,30.08082097,31.24479665
PH-348,Misr Pharmacy (19110), Pharmacy ,44 Talaat Harb Street – Downtown,25750678,Cairo,30.05248037,31.24128406
PH-349,Misr Pharmacy (19110), Pharmacy ,"2 Omar Ibn El-Khattab, Sheraton Al Matar, El Nozha",22914804/808,Cairo,30.10313029,31.37306356
PH-350,Misr Pharmacy (19110), Pharmacy ,"5 Mourad, Oula, Al Giza",22603685 01020333865,Giza,30.02038079,31.21329802
