Server provider,Specialization,code,Latitude,Longitude,the address,phone,Governorate,area,provider
Al-Hilal Hospital,hospital,PH44,30.065353106005176,31.24120657617359,"El-Galaa St, Al Gayarah, Al Azbakeya",25750171,Cairo,downtown,Misr Life Insurance
Al Amal Hospital in Hadayek El Qubba,hospital,PH17,30.092519000247265,31.29084699131819,"67 Arafat Street, Hadayek El Qubba - Administrative Control Division, next to El Naqrashi Secondary School",25431118,Cairo,Qubba Gardens,Misr Life Insurance
Al-Zaytoun Specialized Hospital,hospital,PH32,30.10995514584399,31.29400663338915,"4 Abd Al Sabouar Mohammed Mahdi, Al Amireyah Ash Shamaleyah, Amreya",22846000,Cairo,Helmiya El-Zaytoun,Misr Life Insurance
Coptic Association Hospital,hospital,PH76,30.110734757902556,31.313275622046117,"39 Salim Al Awal, El-Zaytoun Sharkeya",2257780,Cairo,Helmiya El-Zaytoun,Egypt Healthcare
Al Safwa Hospital in Shubra,hospital,PH11,30.093098700577492,31.24588934271924,"3 Munyat Al-Sirj Street, next to Khair Zaman Street – Shubra Street",24302001,Cairo,Shubra,Egypt Healthcare
Al-Muqattam Specialized Hospital,hospital,PH12,30.012640663056366,31.327394593206417,End of Street 9 - Al-Muqattam,25079852,Cairo,Al-Muqattam,Egypt Healthcare
One Day Surgeries Hospital - El Zawya El Hamra,hospital,PH04,30.088036927101033,31.27325824520336,"El-Zawya El-Hamraa, El Zawya El Hamra,",24231300,Cairo,Red Corner,Suez Canal Insurance
Cairo Fatemic Hospital,hospital,PH44,30.047493636479242,31.270743357259455,"El-Gamaleya, El Gamaliya,",29241392,Cairo,the study,Suez Canal Insurance
Ahl Masr Burn Hospital,hospital,PH17,30.050561586693686,31.518969729037842,Second New Cairo,23639665,Cairo,Ancient Egypt,Suez Canal Insurance
Ain Shams University Specialized Hospital,hospital,PH32,30.078720859855185,31.28760404902258,The Abbasid Caliph Al-Ma'mun,24826606,Cairo,Abbasid,Misr Insurance
Dr. Othman Hospital,hospital,PH76,29.96745548,31.2519002,16 Street 107 - Maadi Gardens,25260169,Cairo,Maadi,Misr Insurance
Al-Fath Islamic Hospital,hospital,PH11,29.9667065,31.25423205,Street 9 in Maadi,23585651,Cairo,Maadi,Misr Insurance
Dar Al Shifa Hospital in Cairo,hospital,PH12,30.07171709,31.27860486,375 Ramses Street – Abbassia,24870739,Cairo,Abbasid,AXA Egypt
Air Force General Hospital,hospital,PH04,30.06286164,31.27449943,Ahmed Saeed Street - Abbasiya,26825616,Cairo,Abbasid,MetLife Egypt
Al Rehab Specialized Hospital,hospital,PH44,30.81694071,31.44787466,"Al Rehab Medical Center 2, behind the bank complex – Al Rehab City",26077980,Cairo,Al Rehab,Misr Life Insurance
Noor Al Shorouk Specialized Hospital,hospital,PH17,30.16403986,31.60443472,"Freedom Square, 8th District, near the Central - Shorouk City",26888857,Cairo,sunrise,Egypt Healthcare
Viva Al-Aqqad Hospital,hospital,PH32,30.06579048,31.33583258,"12 Mohamed Mostafa Hammam Street, off Abbas El Akkad Street",01026269494- 022610040,Cairo,Nasr City,Suez Canal Insurance
Farid Habib Hospital,hospital,PH76,30.2268288,31.48045855,"Fifth District Axis, Plot 5, Block 16081, Obour City",16784,Cairo,Crossing,Misr Insurance
Ain Shams University Specialized Hospital (Al-Obour University),hospital,PH11,30.25148994,31.48232002,"Obour City, Second District, First District",1113712285,Cairo,Crossing,AXA Egypt
Pearl Hospital,hospital,PH12,29.97409853,31.33345196,"No. 1220 Investment Land, Katameya-Zahraa El Maadi",15660,Cairo,Maadi,MetLife Egypt
Dar AlSeha Hospital,hospital,PH04,29.99236052,31.4409563,Diplomats District - Services Triangle - Behind the German University - New Cairo,225420666,Cairo,Fifth Settlement,Misr Life Insurance
Waqaya Specialized Hospital,hospital,PH44,30.08051458,31.33395505,17 Asmaa Fahmy Street - Third District - Golf Land,01000964508-01000884682,Cairo,New Cairo,Egypt Healthcare
Katameya Clinic Hospital,hospital,PH17,30.08522748,31.44233657,"Mustafa Kamel Axis, next to the First Settlement Police Station",225865100,Cairo,First gathering,Suez Canal Insurance
SHIFA Hospital,hospital,PH32,30.0245201,31.43627722,90th Street North - City Center - New Cairo,15051,Cairo,Fifth Settlement,Misr Insurance
Air Force Specialized Hospital,hospital,PH76,30.01829864,31.43405871,"90th Street, Fifth Settlement",19448,Cairo,Fifth Settlement,AXA Egypt
Global Medical City Hospital,hospital,PH11,30.05463792,31.3141375,Al-Azhar Hospital - Al-Shaheed Street - Nasr City,19365,Cairo,Nasr City,MetLife Egypt
Tabarak Children's Hospital,hospital,PH12,30.06633048,31.34234324,"3 Hussein Zahdi Street, Golf Land (Nurseries) (Main Center)",24184840,Cairo,New Cairo,Misr Life Insurance
Tabarak Children's Hospital,hospital,PH04,30.01758174,31.28249694,"Al-Muqattam – Fountain Square, Street 9, Al-Muqattam Distinctive Building",25073700,Cairo,Al-Muqattam,Egypt Healthcare
Tabarak Children's Hospital,hospital,PH44,30.08980422,31.23706923,"13 Rawd Al Farag Street, Shubra (Nurseries and Operations)",24586350,Cairo,Shubra,Suez Canal Insurance
Tabarak Children's Hospital,hospital,PH17,30.09555991,31.29671484,"29 Wali El Ahed Street, Hadayek El Qubba",26015222,Cairo,Qubba Gardens,Misr Insurance
Tabarak Children's Hospital,hospital,PH32,30.12714555,31.32064625,"Ain Shams - 97 Aziz El Masry St., Ain Shams (Operations)",22999705,Cairo,Ain Shams,AXA Egypt
Tabarak Children's Hospital,hospital,PH76,30.13939568,31.32529642,16 Youssef El-Degwy Street - Ezbet El-Nakhl,24951127,Cairo,Palm Grove,MetLife Egypt
Tabarak Children's Hospital,hospital,PH11,30.1443946,31.4001997,"7 Mohamed Mahdy Street, Nasr City",24114050,Cairo,Nasr City,Misr Life Insurance
Tabarak Children's Hospital,hospital,PH12,30.04629452,31.32818878,"43 Abdullah Al-Arabi Street, Extension of Al-Tira, Nasr City",24055677,Cairo,Nasr City,Egypt Healthcare
Tabarak Children's Hospital,hospital,PH04,30.07977808,31.33402227,"9 Anwar El Mofty Street, behind Taiba Mall - Abbas El Akkad - Nasr City (Nurseries and Operations)",24055030,Cairo,Nasr City,Suez Canal Insurance
Tabarak Children's Hospital,hospital,PH44,30.13943551,31.32129533,"161 Ain Shams Street, in front of the Police Delegates Institute - Ain Shams",24959050,Cairo,Ain Shams,Misr Insurance
Tabarak Children's Hospital,hospital,PH17,30.15612338,31.3433643,154 Al-Marj - Zakat Foundation,26620690,Cairo,The meadow,AXA Egypt
Care Clinic,Specialized Clinics Center,PH32,30.0844109,31.4426183,First Settlement Service Center E 24,1022270000,Cairo,First gathering,MetLife Egypt
Clinica Medical Center,Children's specialist centre,PH76,29.96268504,31.31592843,57 Zahraa El Maadi Towers,1110004554,Cairo,Maadi,Misr Life Insurance
Cairo Ray Cairo Complex for Radiology Treatment and Diagnosis,Specialized Cancer Center,PH11,30.01944732,31.43719609,Medical Park - Behind Al-Jawy Hospital,0228123642-01157177729-01013313371,Cairo,Fifth Settlement,Egypt Healthcare
My Doctor Specialized Clinics,Specialized Clinics Center,PH12,30.09375501,31.61432916,No. 110 - First Floor - Medical Center No. 1,01118850905-21109303,Cairo,My city,Suez Canal Insurance
Shifa Center,Specialized center for interventional catheterization,PH04,29.95769847,31.25120618,Maadi Nile Corniche - First Osman Towers,1200004367-15206-25259869-25259879,Cairo,Maadi,Misr Insurance
Wellness Specialty Clinics,Specialized Clinics Center,PH44,29.96709103,31.28559747,2/25 Nirko Buildings - Fifth Section,15559697707,Cairo,Maadi,AXA Egypt
iFashion Center,optics,PH17,30.05718026,31.34067893,3 Al-Mirghani Street - Noor Al-Hayat Hospital - Third Floor,0224199835-01275577139,Cairo,New Cairo,MetLife Egypt
iFashion Center,optics,PH32,30.06137748,31.3475883,59 Abbas El Akkad Street,0223824862-01279005537,Cairo,Nasr City,Misr Life Insurance
De Care Center (Dr. Mohamed Tawfik Ahmed),Specialized Clinics Center,PH76,30.08824538,31.33612426,"120 Al-Mirghani Street, next to McDonald's",01118848144-224188086,Cairo,New Cairo,Egypt Healthcare
Alpha Care Center,physical therapy,PH11,30.05210011,31.35019372,"Heliopolis, 22 Mohamed El Mahdy Street, off Abdullah Daraz Street, Al Thawra, Safwat El Golf Hospital",24179941,Cairo,New Cairo,Suez Canal Insurance
Al Yamamah Center for Physiotherapy,physical therapy,PH12,29.96989967,31.33834702,"35 Mecca Street off 50th Street - New Maadi, next to Al Ibrahim Mosque",1060040056,Cairo,Maadi,Misr Insurance
Royal Care Center,physical therapy,PH04,29.97395569,31.26655021,"5 Hassanein El Desouky Street, off Street 9, above Mondial Bakery - Maadi",1091764046,Cairo,Maadi,AXA Egypt
El Mokhtabar,Analysis laboratories,PH44,30.06880007,31.34754368,"81 Nasr Road, next to Taiba Mall – Nasr City",22636262,Cairo,Nasr City,MetLife Egypt
El Mokhtabar,Analysis laboratories,PH17,30.06885659,31.343712,43 Mustafa El Nahas Street – Nasr City,22754314,Cairo,Nasr City,Misr Life Insurance
El Mokhtabar,Analysis laboratories,PH32,30.04840118,31.3793536,"Dr. Rasha Tower, Block 12, Plot 4, 10th District",29282210,Cairo,Nasr City,Egypt Healthcare
El Mokhtabar,Analysis laboratories,PH76,30.01752896,31.22545027,87 El Manial Street,23619731,Cairo,Manial,Suez Canal Insurance
El Mokhtabar,Analysis laboratories,PH11,30.04116692,31.25118158,"306 Port Said Street, in front of Ahmed Maher Mosque - Sayeda Zeinab",23627698,Cairo,downtown,Misr Insurance
El Mokhtabar,Analysis laboratories,PH12,30.02969596,31.23263598,45 Al Qasr Al Aini Street,23611075,Cairo,downtown,AXA Egypt
Al Borg Laboratory,Analysis laboratories,PH04,30.09724832,31.33499626,30 Imam Ali Street - Ismailia Square - Heliopolis,19911,Cairo,New Cairo,MetLife Egypt
Al Borg Laboratory,Analysis laboratories,PH44,30.05268573,31.34653443,15 Samir Abdel Raouf Street - Makram Ebeid - Nasr City,19911,Cairo,Nasr City,Misr Life Insurance
Al Borg Laboratory,Analysis laboratories,PH17,30.06710928,31.27858932,91 Al-Abbasiya Street,19911,Cairo,Abbasid,Egypt Healthcare
Al Borg Laboratory,Analysis laboratories,PH32,29.95973534,31.25439204,"1st Street 153, Freedom Square - Maadi",19911,Cairo,Maadi,Suez Canal Insurance
Al Borg Laboratory,Analysis laboratories,PH76,30.09386298,31.31686764,"4 Al Marwa Street, behind Roxy Cinema - Roxy",19911,Cairo,New Cairo,Misr Insurance
Al Borg Laboratory,Analysis laboratories,PH11,30.10233996,31.22795206,"In front of Central Warraq, at the end of the Research Institute Street - Imbaba",19911,Giza,Imbaba,AXA Egypt
Al Borg Laboratory,Analysis laboratories,PH12,30.08227202,31.28156347,115 Egypt and Sudan Street - Hadayek El Qubba,19911,Cairo,Qubba Gardens,MetLife Egypt
Al Borg Laboratory,Analysis laboratories,PH04,30.02112123,31.22654357,9 Saeed Zulfikar Street - Pasha Square - Manial,19911,Cairo,Manial,Misr Life Insurance
Cairo Lab Laboratories,Analysis laboratories,PH44,30.04719046,31.2423417,9 Sharif Street – Bab El Louq,23927691,Cairo,downtown,Egypt Healthcare
Cairo Lab Laboratories,Analysis laboratories,PH17,30.09195932,31.33850961,18 El Horreya Street – El Sabaa Emarat – Heliopolis,22902840,Cairo,New Cairo,Suez Canal Insurance
Cairo Lab Laboratories,Analysis laboratories,PH32,30.10458316,31.34262948,"138 El Nozha Street, Panorama Tower – Triumph – Heliopolis",26378604,Cairo,New Cairo,Misr Insurance
Cairo Lab Laboratories,Analysis laboratories,PH76,30.10027638,31.32906823,18 Mansoura Street – Al-Jamea Square – Heliopolis,26421786,Cairo,New Cairo,AXA Egypt
Cairo Lab Laboratories,Analysis laboratories,PH11,30.01317737,31.29989182,"Street 9, in front of Al-Mokattam Club – Al-Mokattam",29850002,Cairo,Al-Muqattam,MetLife Egypt
Cairo Lab Laboratories,Analysis laboratories,PH12,30.02360828,31.22610314,89A El Manial St.,25326711,Cairo,Manial,Misr Life Insurance
Cairo Lab Laboratories,Analysis laboratories,PH04,30.05219754,31.24597224,54 Abdel Khalek Tharwat Street,23905639,Cairo,downtown,Egypt Healthcare
Cairo Lab Laboratories,Analysis laboratories,PH44,30.07429761,31.24309192,"40 Shubra Street, next to Shubra district",24609620,Cairo,Shubra,Suez Canal Insurance
Cairo Lab Laboratories,Analysis laboratories,PH17,29.9895126,31.2869514,"101 Palestine Street, in front of Mobil Gas Station – New Maadi",25171430,Cairo,Maadi,Misr Insurance
Cairo Lab Laboratories,Analysis laboratories,PH32,29.85052086,31.33591704,32 Zaki Street – Pearl of Helwan Tower – Helwan,25585337,Cairo,Helwan,AXA Egypt
Cairo Lab Laboratories,Analysis laboratories,PH76,30.00874882,31.42592877,"Dana Mall 1, behind the courthouse, opposite Al-Mahmal Supermarket – Fifth Settlement",23131622,Cairo,Fifth Settlement,MetLife Egypt
Medical Analysis Research Laboratories,Analysis laboratories,PH11,29.96008192,31.25531497,"5th Street 100, Freedom Tower, 4th Floor, Freedom Square, Maadi",1012430333,Cairo,Maadi,Misr Life Insurance
Life Lab,Analysis laboratories,PH12,30.03895454,31.2334985,"1 Counselor Mohamed Fahmy Street, next to the Sudanese Embassy - Garden City Hospital",27955022,Cairo,downtown,Egypt Healthcare
Life Lab,Analysis laboratories,PH04,29.98022668,31.24276589,"88 Ahmed Zaki Street, in front of Al-Huda Mosque - Dar Al-Salam",29812409,Cairo,Dar Al Salam,Suez Canal Insurance
Life Lab,Analysis laboratories,PH44,29.9802878,31.24277065,"103 Misr Helwan Agricultural Road, El-Eisawiya, below Kioskan - Dar El Salam",2525256,Cairo,Dar Al Salam,Misr Insurance
Royal Lab,Analysis laboratories,PH17,30.06730335,31.33597672,5 Abbas El Akkad Street – Nasr City,24013797,Cairo,Nasr City,AXA Egypt
Royal Lab,Analysis laboratories,PH32,30.04818836,31.24188811,"In front of the Ministry of Religious Endowments, 2 Sharif Street, Al-Liwaa Abdeen Building",23622599,Cairo,downtown,MetLife Egypt
Royal Lab,Analysis laboratories,PH76,30.12659491,31.37167348,22 Magdy Imam El Shabrawy St. - New Nozha,26218127,Cairo,picnic,Misr Life Insurance
Royal Lab,Analysis laboratories,PH11,30.04675455,31.24201864,2 Sharif Street – Al-Liwaa Building – Bab El Louq,23924201,Cairo,downtown,Egypt Healthcare
Royal Lab,Analysis laboratories,PH12,30.12156254,31.26143702,"May 15th, Al-Qattan Tower, above Tabarak Hospital",44739051,Cairo,Helwan,Suez Canal Insurance
Royal Lab,Analysis laboratories,PH04,30.07047198,31.24512919,"22 Shubra Street, above Abu Shleeb's shop",25789225,Cairo,Shubra,Misr Insurance
Royal Lab,Analysis laboratories,PH44,29.97458705,31.2757528,"45 El Nasr St., Algeria Square – New Maadi",25175357,Cairo,Maadi,AXA Egypt
Royal Lab,Analysis laboratories,PH17,30.01442201,31.28907416,"14th Street 9, Fountain Square - Al-Muqattam",25077367,Cairo,Al-Muqattam,MetLife Egypt
Royal Lab,Analysis laboratories,PH32,30.00360189,31.42160756,"Silver Star Mall, Akhnaton Street – Fifth Settlement",23130465,Cairo,Fifth Settlement,Misr Life Insurance
Royal Lab,Analysis laboratories,PH76,30.09560079,31.30886867,"19 Al Khalifa Al Ma'moun St., Roxy",24174648,Cairo,New Cairo,Egypt Healthcare
Royal Lab,Analysis laboratories,PH11,30.1201005,31.33979016,"100 Gesr El Suez Street, in front of Rabaa bus station, third floor",16064,Cairo,Helmiya El-Zaytoun,Suez Canal Insurance
Royal Lab,Analysis laboratories,PH12,30.05523204,31.34747662,"41 Abdel Hamid Awad Street, above McDonald's, intersection of Mustafa El Nahas Street, next to Mahgoub Ceramics",16064,Cairo,Nasr City,Misr Insurance
Royal Lab,Analysis laboratories,PH04,30.01713468,31.28413889,"Sh9 Atlas Residences C Block 19 Above Oriental Weavers, Mokattam",16064,Cairo,Al-Muqattam,AXA Egypt
Royal Lab,Analysis laboratories,PH44,29.84974496,31.33311728,"38 Mohamed Sayed Ahmed Street, in front of the Electricity Company, Helwan",16064,Cairo,Helwan,MetLife Egypt
Royal Lab,Analysis laboratories,PH17,30.28818289,31.74685332,"Doha Mall, 10th of Ramadan City, Building A, 3rd Floor",16064,Cairo,10th of Ramadan,Misr Life Insurance
Alpha Lab,Analysis laboratories,PH32,30.04536368,31.2370104,1 Talaat Harb Street - Tahrir Square,23957100,Cairo,downtown,Egypt Healthcare
Alpha Lab,Analysis laboratories,PH76,30.0176658,31.22509,47 El Manial Street,23623300,Cairo,Manial,Suez Canal Insurance
Alpha Lab,Analysis laboratories,PH11,30.09163841,31.24468828,40 Shubra Street - Shubra,25779899,Cairo,Shubra,Misr Insurance
Alpha Lab,Analysis laboratories,PH12,30.05532429,31.33883861,106 Abbas El Akkad Street - El Nahas Intersection - Nasr City,22870800,Cairo,Nasr City,AXA Egypt
Alpha Lab,Analysis laboratories,PH04,30.08656896,31.28213846,127 Egypt and Sudan Street - Hadayek El Qubba,68400312,Cairo,Qubba Gardens,MetLife Egypt
Alpha Lab,Analysis laboratories,PH44,30.116648,31.31820987,39 Ibn Al-Hakam Street - Helmiya Al-Zaytoun,26331616,Cairo,Helmiya El-Zaytoun,Misr Life Insurance
Alpha Lab ],Analysis laboratories,PH17,30.0356772,31.24703934,208 Port Said Street - Sayeda Zeinab,23911900,Cairo,downtown,Egypt Healthcare
Alpha Lab,Analysis laboratories,PH32,30.10460487,31.24186612,"10 El Salam St., Aghakhan Towers - Aghakhan",16191,Cairo,Shubra,Suez Canal Insurance
Alpha Lab,Analysis laboratories,PH76,30.04701808,31.24191619,2 Sharif Street - Bab El Louq,23935101,Cairo,downtown,Misr Insurance
Alpha Lab,Analysis laboratories,PH11,30.12915553,31.32137707,75 Ahmed Esmat Street - Ain Shams,24939502,Cairo,Ain Shams,AXA Egypt
Alpha Lab,Analysis laboratories,PH12,29.95959947,31.25344813,"Nile Corniche - Maadi, next to Al Salam Hospital - Maadi",25253050,Cairo,Maadi,MetLife Egypt
Alpha Lab,Analysis laboratories,PH04,30.06463982,31.26241822,2 Jaafar Street - Al-Zahir,27877542,Cairo,Apparent,Misr Life Insurance
Alpha Lab,Analysis laboratories,PH44,30.07110688,31.28228266,109 Al-Abbasiya Street - Al-Abbasiya,29224832,Cairo,Abbasid,Egypt Healthcare
Alpha Lab,Analysis laboratories,PH17,30.06279601,31.34460876,"68 Makram Ebeid Street, in front of the Children's Park - Makram Ebeid",26711694,Cairo,Nasr City,Suez Canal Insurance
Alpha Lab,Analysis laboratories,PH32,30.06802927,31.33185828,77B Nasr Road - Next to Taiba Mall - Nasr Road,24051147,Cairo,Nasr City,Misr Insurance
Al Mokhtabar Labs,Analysis laboratories,PH76,30.05418611,31.34393487,52 Mustafa El Nahas Street - Nasr City,16987,Cairo,Nasr City,AXA Egypt
Seha Al Akkad Hospital,hospital,PH11,30.06577655,31.33662115,"12 Mohamed Mostafa Hammam Street, off Abbas El Akkad Street - Nasr City",16987,Cairo,Nasr City,MetLife Egypt
Hassab Labs,Analysis laboratories,PH12,31.20918809,29.90337108,14 El Nasr Street - Maadi,16987,Cairo,Maadi,Misr Life Insurance
Al Shams Labs,Analysis laboratories,PH04,30.08801572,31.30900955,50 Khalifa Al-Ma'moun Street - Heliopolis - Above Al-Asr Market,19445,Cairo,New Cairo,Egypt Healthcare
Al Shams Labs,Analysis laboratories,PH44,29.97460269,31.27998493,"119 Saqr Quraish Residences, Extension of Abdul Hamid Badawi",19445,Cairo,Maadi,Suez Canal Insurance
Al Shams Labs,Analysis laboratories,PH17,30.09149264,31.32041676,42 Othman Ibn Affan Street - Heliopolis,16445,Cairo,New Cairo,Misr Insurance
Al Shams Labs,Analysis laboratories,PH32,29.97404506,31.28019951,2 First of May Buildings - next to the First Nasr City Police Station,19445,Cairo,Nasr City,AXA Egypt
Al Shams Labs,Analysis laboratories,PH76,30.05009734,31.38045106,"6 Mohamed Mahdi Street, off Ahmed El Zomor Street - 10th District Bus Station - Nasr City",19445,Cairo,Nasr City,MetLife Egypt
Al Shams Labs,Analysis laboratories,PH11,30.14102271,31.3919182,B2 Gesr El Suez Street - El Farouqia Buildings,19445,Cairo,Suez Bridge,Misr Life Insurance
Al Mostaqbal Labs,Analysis laboratories,PH12,30.1152326,31.31688093,120 Selim El Awal Street - Zeitoun,19445,Cairo,Helmiya El-Zaytoun,Egypt Healthcare
Ain Shams Labs,Analysis laboratories,PH04,30.13040705,31.32143099,76 Ain Shams Street - in front of the church,19445,Cairo,Ain Shams,Suez Canal Insurance
Al Shams Labs,Analysis laboratories,PH44,30.08467695,31.28190094,120 Egypt and Sudan Street - Above Vodafone,19445,Cairo,Olive Gardens,Misr Insurance
Al Shams Labs,Analysis laboratories,PH17,30.02675183,31.22589336,"Mohammed Khairy, Department, Old Cairo, Cairo Governorate 4240264",19445,Cairo,#VALUE!,AXA Egypt
First Dental Center of Egypt,teeth,PH32,30.10632958,31.34373494,"147 El Nozha Street, Saint Fatima Square - Heliopolis",27750124,Cairo,New Cairo,MetLife Egypt
First Dental Center of Egypt,teeth,PH76,30.0495214,31.24251141,"16 Sharif Street, next to the main National Bank branch - Downtown",1028846868,Cairo,downtown,Misr Life Insurance
Dr. Hossam Mansour Clinics,teeth,PH11,30.06088997,31.24545675,"6 Ramses Square - Ramses Building, Entrance C, 7th Floor",01203210030-25782598,Cairo,downtown,Egypt Healthcare
Hossam Mansour Specialized Centers and Clinics Hotline 01206016003,teeth,PH12,30.0446122,31.33923125,"2 Ahmed El Zomor Street, intersection of Zakir Abbas Street and Abbas El Akkad Street - Nasr City",01205077255-22756032,Cairo,Nasr City,Suez Canal Insurance
Smile Care Egypt Dental Center,teeth,PH04,30.06684834,31.3499348,"13 Ibrahim Nawar Street, off Ahmed Fakhry Street",1287336633,Cairo,Nasr City,Misr Insurance
El-Ezaby Pharmacies,pharmacies,PH44,30.04768717,31.26266292,"36 Al-Hussein Square, in front of Al-Hussein Mosque",25895551,Cairo,Cairo,AXA Egypt
El-Ezaby Pharmacies,pharmacies,PH17,30.02152518,31.22569852,Al-Manial – 123 Abdul Aziz Al Saud Street,25329939,Cairo,Manial,MetLife Egypt
El Ezaby Pharmacy,pharmacies,PH32,29.98841234,31.22980834,"Old Cairo, Nile Corniche, next to Al Mahmoud Hospital",23646325,Cairo,Ancient Egypt,Misr Life Insurance
El Ezaby Pharmacy,pharmacies,PH76,30.05440451,31.23873473,"Talaat Harb - 1 Talaat Harb Square, Downtown",23921053,Cairo,downtown,Egypt Healthcare
El Ezaby Pharmacy,pharmacies,PH11,30.04770806,31.26271388,"Bab El Louq - 1 Mohamed Mahmoud St., Doctors Tower",27954418,Cairo,downtown,Suez Canal Insurance
El Ezaby Pharmacy,pharmacies,PH12,30.04537232,31.24139135,"Al-Falaki Square - 24 Hoda Shaarawy Street, in front of the Chamber of Commerce",23962447,Cairo,downtown,Misr Insurance
El-Ezaby Pharmacies,pharmacies,PH04,30.09682901,31.24345858,Shubra Street - 156 Shubra Street,24331135,Cairo,Shubra,AXA Egypt
El-Ezaby Pharmacies,pharmacies,PH44,30.07163822,31.22159289,Zamalek - 46 Bahgat Ali Street,27376739,Cairo,Zamalek,MetLife Egypt
El-Ezaby Pharmacies,pharmacies,PH17,30.07335002,31.28436206,"Abbasiya - 13 Ali Sidqi Street, near Abbasiya Square",24863399,Cairo,Abbasid,Misr Life Insurance
El Ezaby Pharmacy,pharmacies,PH32,30.03419681,31.24171129,"Sayeda Zeinab - 2 Khayrat Street, Sayeda District",27960723,Cairo,downtown,Egypt Healthcare
